Time,P0, R0, Y0,P1, R1, Y1,P2, R2, Y2,P3, R3, Y3,P4, R4, Y4,P5, R5, Y5,P6, R6, Y6,P7, R7, Y7,
16-41-57.953,0.00,0.00,0.00,3.91,97.46,0.50,-1.35,1.27,0.00,6.04,-103.88,-1.40,1.64,-1.05,0.00,-19.48,99.52,-0.90,-8.98,-87.51,1.50,81.49,-145.97,10.80,
16-41-57.963,0.00,0.00,0.00,3.91,97.46,0.50,-1.35,1.27,0.00,6.04,-103.88,-1.40,1.65,-1.05,0.00,-19.48,99.53,-0.90,-8.98,-87.51,1.50,81.49,-145.97,10.80,
16-41-57.973,0.00,0.00,0.00,3.91,97.46,0.50,-1.35,1.27,0.00,6.05,-103.87,-1.40,1.65,-1.05,0.00,-19.49,99.55,-0.90,-8.98,-87.51,1.50,81.48,-146.03,10.70,
16-41-57.984,0.00,0.00,0.00,3.92,97.46,0.50,-1.35,1.28,0.00,6.05,-103.88,-1.40,1.65,-1.05,0.00,-19.49,99.57,-0.90,-8.98,-87.51,1.50,81.48,-146.04,10.70,
16-41-57.993,0.00,0.00,0.00,3.92,97.46,0.50,-1.35,1.28,0.00,6.05,-103.88,-1.40,1.65,-1.05,0.00,-19.49,99.58,-0.80,-8.98,-87.51,1.50,81.48,-146.05,10.70,
16-41-58.004,0.00,0.00,0.00,3.91,97.46,0.50,-1.35,1.28,0.00,6.05,-103.88,-1.40,1.64,-1.06,0.00,-19.49,99.60,-0.80,-8.97,-87.52,1.50,81.48,-146.06,10.70,
16-41-58.014,0.00,0.00,0.00,3.91,97.46,0.50,-1.35,1.28,0.00,6.06,-103.88,-1.40,1.64,-1.06,0.00,-19.49,99.62,-0.80,-8.97,-87.52,1.50,81.46,-146.12,10.70,
16-41-58.023,0.00,0.00,0.00,3.91,97.45,0.60,-1.35,1.28,0.00,6.05,-103.89,-1.40,1.64,-1.06,0.00,-19.49,99.64,-0.80,-8.97,-87.52,1.50,81.46,-146.14,10.70,
16-41-58.035,0.00,0.00,0.00,3.91,97.45,0.60,-1.35,1.28,0.00,6.06,-103.89,-1.40,1.64,-1.06,0.00,-19.50,99.67,-0.80,-8.97,-87.52,1.50,81.46,-146.15,10.70,
16-41-58.044,0.00,0.00,0.00,3.91,97.45,0.60,-1.35,1.28,0.00,6.06,-103.89,-1.30,1.64,-1.06,0.00,-19.50,99.69,-0.80,-8.98,-87.56,1.60,81.46,-146.15,10.70,
16-41-58.053,0.00,0.00,0.00,3.91,97.45,0.60,-1.35,1.28,0.00,6.06,-103.88,-1.30,1.64,-1.06,0.00,-19.50,99.72,-0.80,-8.98,-87.56,1.60,81.41,-146.26,10.60,
16-41-58.065,0.00,0.00,0.00,3.92,97.45,0.60,-1.35,1.28,0.00,6.05,-103.90,-1.30,1.64,-1.06,0.00,-19.50,99.74,-0.80,-8.98,-87.56,1.60,81.41,-146.26,10.60,
16-41-58.074,0.00,0.00,0.00,3.92,97.45,0.60,-1.35,1.28,0.00,6.06,-103.90,-1.30,1.64,-1.06,0.00,-19.51,99.76,-0.80,-8.98,-87.56,1.60,81.41,-146.26,10.60,
16-41-58.082,0.00,0.00,0.00,3.92,97.45,0.60,-1.35,1.28,0.00,6.06,-103.90,-1.30,1.64,-1.06,0.00,-19.51,99.79,-0.80,-8.96,-87.56,1.60,81.41,-146.27,10.60,
16-41-58.093,0.00,0.00,0.00,3.92,97.45,0.60,-1.35,1.28,0.00,6.06,-103.90,-1.30,1.64,-1.06,0.00,-19.51,99.82,-0.80,-8.96,-87.56,1.60,81.39,-146.34,10.50,
16-41-58.105,0.00,0.00,0.00,3.92,97.44,0.60,-1.35,1.28,0.00,6.06,-103.88,-1.30,1.64,-1.06,0.00,-19.51,99.84,-0.80,-8.96,-87.56,1.60,81.39,-146.35,10.50,
16-41-58.115,0.00,0.00,0.00,3.92,97.44,0.60,-1.35,1.28,0.00,6.06,-103.88,-1.30,1.64,-1.06,0.00,-19.51,99.86,-0.80,-8.96,-87.56,1.60,81.39,-146.35,10.50,
16-41-58.124,0.00,0.00,0.00,3.92,97.45,0.60,-1.35,1.28,0.00,6.07,-103.88,-1.20,1.63,-1.06,0.00,-19.51,99.88,-0.80,-8.97,-87.58,1.60,81.39,-146.36,10.50,
16-41-58.133,0.00,0.00,0.00,3.92,97.45,0.70,-1.35,1.28,0.00,6.07,-103.88,-1.20,1.63,-1.06,0.00,-19.51,99.91,-0.80,-8.97,-87.58,1.60,81.39,-146.38,10.50,
16-41-58.144,0.00,0.00,0.00,3.92,97.44,0.70,-1.35,1.28,0.00,6.06,-103.85,-1.20,1.63,-1.06,0.00,-19.51,99.93,-0.80,-8.97,-87.58,1.60,81.39,-146.39,10.50,
16-41-58.152,0.00,0.00,0.00,3.92,97.44,0.70,-1.35,1.28,0.00,6.06,-103.85,-1.20,1.63,-1.06,0.00,-19.51,99.94,-0.80,-8.97,-87.58,1.60,81.39,-146.40,10.50,
16-41-58.164,0.00,0.00,0.00,3.92,97.44,0.70,-1.35,1.28,0.00,6.06,-103.85,-1.20,1.62,-1.06,0.00,-19.51,99.96,-0.80,-8.97,-87.62,1.60,81.39,-146.41,10.50,
16-41-58.173,0.00,0.00,0.00,3.92,97.44,0.70,-1.35,1.28,0.00,6.06,-103.85,-1.20,1.62,-1.06,0.00,-19.51,99.99,-0.80,-8.97,-87.62,1.60,81.38,-146.42,10.50,
16-41-58.183,0.00,0.00,0.00,3.92,97.43,0.70,-1.34,1.27,0.00,6.03,-103.83,-1.20,1.62,-1.06,0.00,-19.51,100.00,-0.80,-8.97,-87.62,1.60,81.38,-146.43,10.50,
16-41-58.193,0.00,0.00,0.00,3.92,97.43,0.70,-1.34,1.27,0.00,6.03,-103.83,-1.20,1.62,-1.06,0.00,-19.51,100.01,-0.80,-8.97,-87.62,1.60,81.38,-146.43,10.50,
16-41-58.203,0.00,0.00,0.00,3.92,97.43,0.70,-1.34,1.27,0.00,6.03,-103.83,-1.20,1.63,-1.07,0.00,-19.51,100.02,-0.80,-8.98,-87.63,1.60,81.38,-146.44,10.50,
16-41-58.214,0.00,0.00,0.00,3.92,97.43,0.70,-1.34,1.27,0.00,6.03,-103.83,-1.20,1.63,-1.07,0.00,-19.51,100.04,-0.80,-8.98,-87.63,1.60,81.36,-146.49,10.40,
16-41-58.223,0.00,0.00,0.00,3.93,97.43,0.70,-1.35,1.27,0.00,6.03,-103.82,-1.20,1.63,-1.07,0.00,-19.51,100.04,-0.80,-8.98,-87.63,1.60,81.36,-146.49,10.40,
16-41-58.234,0.00,0.00,0.00,3.93,97.43,0.70,-1.35,1.27,0.00,6.03,-103.82,-1.20,1.63,-1.07,0.00,-19.51,100.04,-0.80,-8.98,-87.63,1.60,81.36,-146.49,10.40,
16-41-58.243,0.00,0.00,0.00,3.93,97.43,0.70,-1.35,1.27,0.00,6.03,-103.82,-1.20,1.62,-1.07,0.00,-19.51,100.04,-0.80,-8.98,-87.65,1.60,81.36,-146.49,10.40,
16-41-58.254,0.00,0.00,0.00,3.93,97.43,0.70,-1.35,1.27,0.00,6.03,-103.82,-1.20,1.62,-1.07,0.00,-19.52,100.05,-0.80,-8.98,-87.65,1.60,81.36,-146.49,10.40,
16-41-58.262,0.00,0.00,0.00,3.93,97.42,0.70,-1.34,1.27,0.00,6.02,-103.82,-1.20,1.62,-1.07,0.00,-19.52,100.05,-0.80,-8.98,-87.65,1.60,81.36,-146.45,10.50,
16-41-58.272,0.00,0.00,0.00,3.93,97.42,0.70,-1.34,1.27,0.00,6.02,-103.82,-1.20,1.62,-1.07,0.00,-19.52,100.05,-0.80,-8.98,-87.65,1.60,81.36,-146.45,10.50,
16-41-58.283,0.00,0.00,0.00,3.93,97.42,0.70,-1.34,1.27,0.00,6.02,-103.82,-1.20,1.63,-1.07,0.00,-19.52,100.05,-0.80,-8.98,-87.66,1.60,81.36,-146.45,10.50,
16-41-58.294,0.00,0.00,0.00,3.93,97.42,0.70,-1.34,1.27,0.00,6.03,-103.82,-1.20,1.63,-1.07,0.00,-19.52,100.06,-0.80,-8.98,-87.66,1.60,81.36,-146.45,10.50,
16-41-58.301,0.00,0.00,0.00,3.94,97.41,0.70,-1.34,1.27,0.00,6.02,-103.82,-1.20,1.63,-1.07,0.00,-19.52,100.06,-0.80,-8.98,-87.66,1.60,81.34,-146.48,10.50,
16-41-58.314,0.00,0.00,0.00,3.94,97.41,0.70,-1.34,1.27,0.00,6.02,-103.82,-1.20,1.63,-1.07,0.00,-19.52,100.06,-0.80,-8.98,-87.66,1.60,81.34,-146.48,10.50,
16-41-58.323,0.00,0.00,0.00,3.94,97.41,0.70,-1.34,1.27,0.00,6.02,-103.82,-1.20,1.63,-1.08,0.00,-19.52,100.06,-0.80,-8.99,-87.69,1.60,81.34,-146.48,10.50,
