Time,P0, R0, Y0,P1, R1, Y1,P2, R2, Y2,P3, R3, Y3,P4, R4, Y4,P5, R5, Y5,P6, R6, Y6,P7, R7, Y7,
16-25-53.607,0.00,0.00,0.00,3.74,93.06,7.10,-0.63,1.66,1.50,7.52,-102.31,3.90,1.43,-1.10,-1.70,-17.94,100.23,7.60,-5.08,-87.79,-4.10,82.53,-156.62,-168.10,
16-25-53.617,0.00,0.00,0.00,3.74,93.06,7.10,-0.63,1.66,1.50,7.52,-102.31,3.90,1.43,-1.10,-1.70,-17.94,100.23,7.60,-5.08,-87.79,-4.10,82.55,-156.55,-168.00,
16-25-53.627,0.00,0.00,0.00,3.74,93.06,7.10,-0.63,1.66,1.50,7.52,-102.31,3.90,1.43,-1.10,-1.70,-17.94,100.23,7.60,-5.08,-87.79,-4.10,82.55,-156.55,-168.00,
16-25-53.636,0.00,0.00,0.00,3.74,93.06,7.10,-0.63,1.66,1.50,7.52,-102.31,3.90,1.43,-1.10,-1.70,-17.94,100.23,7.60,-5.08,-87.78,-4.10,82.55,-156.55,-168.00,
16-25-53.646,0.00,0.00,0.00,3.74,93.06,7.10,-0.63,1.66,1.50,7.52,-102.31,3.90,1.43,-1.10,-1.70,-17.95,100.23,7.60,-5.08,-87.78,-4.10,82.55,-156.55,-168.00,
16-25-53.657,0.00,0.00,0.00,3.74,93.07,7.10,-0.63,1.66,1.50,7.52,-102.31,3.90,1.43,-1.10,-1.70,-17.95,100.23,7.60,-5.08,-87.78,-4.10,82.57,-156.58,-168.00,
16-25-53.666,0.00,0.00,0.00,3.74,93.07,7.10,-0.63,1.66,1.50,7.52,-102.31,3.90,1.42,-1.11,-1.70,-17.95,100.23,7.60,-5.08,-87.78,-4.10,82.57,-156.60,-168.00,
16-25-53.678,0.00,0.00,0.00,3.74,93.07,7.10,-0.63,1.66,1.50,7.52,-102.31,3.90,1.42,-1.11,-1.70,-17.95,100.23,7.60,-5.07,-87.76,-4.10,82.56,-156.62,-168.10,
16-25-53.688,0.00,0.00,0.00,3.74,93.07,7.10,-0.63,1.66,1.50,7.52,-102.31,3.90,1.42,-1.11,-1.70,-17.95,100.22,7.60,-5.07,-87.76,-4.10,82.56,-156.62,-168.10,
16-25-53.698,0.00,0.00,0.00,3.75,93.07,7.10,-0.63,1.66,1.50,7.52,-102.31,3.90,1.42,-1.11,-1.70,-17.95,100.22,7.60,-5.07,-87.76,-4.10,82.59,-156.58,-168.00,
16-25-53.708,0.00,0.00,0.00,3.75,93.07,7.10,-0.63,1.66,1.50,7.52,-102.31,3.90,1.43,-1.12,-1.70,-17.95,100.22,7.60,-5.07,-87.76,-4.10,82.59,-156.60,-168.00,
16-25-53.717,0.00,0.00,0.00,3.75,93.07,7.10,-0.63,1.66,1.50,7.53,-102.33,3.90,1.43,-1.12,-1.70,-17.95,100.22,7.60,-5.07,-87.76,-4.10,82.58,-156.63,-168.10,
16-25-53.727,0.00,0.00,0.00,3.75,93.07,7.10,-0.63,1.66,1.50,7.53,-102.33,3.90,1.43,-1.12,-1.70,-17.95,100.20,7.60,-5.07,-87.76,-4.10,82.58,-156.63,-168.10,
16-25-53.737,0.00,0.00,0.00,3.75,93.07,7.10,-0.63,1.66,1.50,7.53,-102.33,3.90,1.43,-1.12,-1.70,-17.95,100.20,7.60,-5.07,-87.76,-4.10,82.58,-156.68,-168.10,
16-25-53.747,0.00,0.00,0.00,3.75,93.07,7.10,-0.63,1.66,1.50,7.53,-102.33,3.90,1.43,-1.12,-1.70,-17.95,100.20,7.60,-5.07,-87.76,-4.10,82.58,-156.68,-168.10,
16-25-53.756,0.00,0.00,0.00,3.75,93.07,7.10,-0.63,1.66,1.50,7.54,-102.34,3.90,1.43,-1.12,-1.70,-17.95,100.20,7.60,-5.06,-87.75,-4.10,82.58,-156.68,-168.10,
16-25-53.768,0.00,0.00,0.00,3.75,93.07,7.10,-0.63,1.66,1.50,7.54,-102.34,3.90,1.43,-1.12,-1.70,-17.95,100.19,7.60,-5.06,-87.75,-4.10,82.58,-156.68,-168.10,
