Time,P0, R0, Y0,P1, R1, Y1,P2, R2, Y2,P3, R3, Y3,P4, R4, Y4,P5, R5, Y5,P6, R6, Y6,P7, R7, Y7,
16-33-11.670,0.00,0.00,0.00,5.97,97.00,2.60,-0.66,1.05,0.10,6.98,-103.80,0.70,1.66,-1.36,-0.20,-18.16,99.71,-2.30,-5.86,-91.06,2.30,82.90,-161.72,1.00,
16-33-11.680,0.00,0.00,0.00,5.97,97.00,2.60,-0.66,1.05,0.10,6.98,-103.80,0.70,1.66,-1.36,-0.20,-18.17,99.70,-2.30,-5.86,-91.06,2.30,82.90,-161.72,1.00,
16-33-11.689,0.00,0.00,0.00,5.97,97.00,2.60,-0.66,1.05,0.10,6.98,-103.80,0.70,1.66,-1.36,-0.20,-18.17,99.70,-2.30,-5.86,-91.06,2.30,82.88,-161.78,1.00,
16-33-11.700,0.00,0.00,0.00,5.97,97.00,2.60,-0.66,1.05,0.10,6.98,-103.80,0.70,1.66,-1.36,-0.20,-18.17,99.70,-2.30,-5.86,-91.06,2.30,82.88,-161.78,1.00,
16-33-11.708,0.00,0.00,0.00,5.97,96.99,2.60,-0.66,1.05,0.10,6.98,-103.80,0.70,1.66,-1.36,-0.20,-18.17,99.70,-2.30,-5.85,-91.07,2.30,82.88,-161.78,1.00,
16-33-11.719,0.00,0.00,0.00,5.97,96.99,2.60,-0.66,1.05,0.10,6.98,-103.80,0.70,1.66,-1.36,-0.20,-18.17,99.70,-2.30,-5.85,-91.07,2.30,82.88,-161.78,1.00,
16-33-11.731,0.00,0.00,0.00,5.97,96.99,2.60,-0.66,1.05,0.10,6.98,-103.80,0.70,1.66,-1.36,-0.20,-18.17,99.70,-2.30,-5.85,-91.07,2.30,82.86,-161.73,1.00,
16-33-11.740,0.00,0.00,0.00,5.97,96.99,2.60,-0.66,1.05,0.10,6.97,-103.81,0.70,1.66,-1.36,-0.20,-18.17,99.70,-2.30,-5.85,-91.07,2.30,82.86,-161.73,1.00,
16-33-11.750,0.00,0.00,0.00,5.98,96.99,2.60,-0.66,1.05,0.10,6.97,-103.81,0.70,1.66,-1.36,-0.20,-18.17,99.70,-2.30,-5.84,-91.07,2.30,82.86,-161.73,1.00,
16-33-11.760,0.00,0.00,0.00,5.98,96.99,2.60,-0.65,1.05,0.10,6.97,-103.81,0.70,1.65,-1.36,-0.20,-18.18,99.70,-2.30,-5.84,-91.07,2.30,82.86,-161.73,1.00,
16-33-11.769,0.00,0.00,0.00,5.98,96.99,2.60,-0.65,1.05,0.10,6.97,-103.81,0.70,1.65,-1.36,-0.20,-18.18,99.70,-2.30,-5.84,-91.07,2.30,82.85,-161.80,0.90,
16-33-11.781,0.00,0.00,0.00,5.98,96.99,2.60,-0.65,1.05,0.10,6.97,-103.81,0.70,1.65,-1.36,-0.20,-18.18,99.70,-2.30,-5.84,-91.07,2.30,82.85,-161.80,0.90,
16-33-11.791,0.00,0.00,0.00,5.98,96.99,2.60,-0.65,1.05,0.10,6.97,-103.81,0.70,1.65,-1.36,-0.20,-18.18,99.70,-2.30,-5.83,-91.07,2.30,82.85,-161.80,0.90,
16-33-11.800,0.00,0.00,0.00,5.98,96.99,2.60,-0.65,1.06,0.10,6.97,-103.81,0.70,1.66,-1.36,-0.20,-18.19,99.69,-2.30,-5.83,-91.07,2.30,82.85,-161.80,0.90,
16-33-11.809,0.00,0.00,0.00,5.98,96.99,2.60,-0.65,1.06,0.10,6.97,-103.81,0.70,1.66,-1.36,-0.20,-18.19,99.69,-2.30,-5.83,-91.07,2.30,82.84,-161.78,1.00,
16-33-11.820,0.00,0.00,0.00,5.98,96.99,2.60,-0.65,1.06,0.10,6.96,-103.82,0.70,1.66,-1.36,-0.20,-18.19,99.69,-2.30,-5.83,-91.07,2.30,82.84,-161.78,1.00,
16-33-11.829,0.00,0.00,0.00,5.99,96.98,2.60,-0.65,1.06,0.10,6.96,-103.82,0.70,1.66,-1.36,-0.20,-18.19,99.69,-2.30,-5.82,-91.08,2.30,82.84,-161.77,1.00,
16-33-11.839,0.00,0.00,0.00,5.99,96.98,2.60,-0.65,1.06,0.10,6.96,-103.82,0.70,1.66,-1.36,-0.20,-18.20,99.69,-2.30,-5.82,-91.08,2.30,82.85,-161.76,1.00,
16-33-11.850,0.00,0.00,0.00,5.99,96.98,2.60,-0.65,1.06,0.10,6.96,-103.82,0.70,1.66,-1.36,-0.20,-18.20,99.69,-2.30,-5.82,-91.08,2.30,82.85,-161.77,1.00,
16-33-11.860,0.00,0.00,0.00,5.99,96.98,2.60,-0.65,1.06,0.10,6.96,-103.82,0.70,1.66,-1.36,-0.20,-18.20,99.69,-2.30,-5.82,-91.08,2.30,82.86,-161.75,1.00,
16-33-11.871,0.00,0.00,0.00,5.99,96.98,2.60,-0.65,1.06,0.10,6.96,-103.82,0.70,1.66,-1.36,-0.20,-18.20,99.69,-2.30,-5.82,-91.08,2.30,82.87,-161.72,1.00,
16-33-11.881,0.00,0.00,0.00,5.99,96.98,2.60,-0.65,1.06,0.10,6.96,-103.82,0.70,1.66,-1.36,-0.20,-18.21,99.70,-2.30,-5.82,-91.08,2.30,82.88,-161.68,1.10,
16-33-11.891,0.00,0.00,0.00,5.99,96.98,2.60,-0.65,1.06,0.10,6.96,-103.82,0.70,1.66,-1.36,-0.20,-18.21,99.70,-2.30,-5.82,-91.08,2.30,82.88,-161.62,1.10,
16-33-11.899,0.00,0.00,0.00,5.99,96.98,2.60,-0.65,1.06,0.10,6.95,-103.81,0.70,1.66,-1.36,-0.20,-18.21,99.70,-2.30,-5.82,-91.08,2.30,82.88,-161.61,1.10,
16-33-11.909,0.00,0.00,0.00,5.99,96.98,2.60,-0.65,1.06,0.10,6.95,-103.81,0.70,1.66,-1.36,-0.20,-18.21,99.70,-2.30,-5.81,-91.08,2.30,82.89,-161.58,1.20,
