Time,P0, R0, Y0,P1, R1, Y1,P2, R2, Y2,P3, R3, Y3,P4, R4, Y4,P5, R5, Y5,P6, R6, Y6,P7, R7, Y7,
16-29-47.618,0.00,0.00,0.00,5.64,96.23,-1.40,-0.61,1.73,0.00,7.16,-102.06,-1.20,2.00,-1.66,0.00,-17.49,98.25,-0.20,-4.94,-89.22,0.00,81.82,-168.08,-4.60,
16-29-47.631,0.00,0.00,0.00,5.64,96.22,-1.40,-0.61,1.73,0.00,7.16,-102.06,-1.20,2.00,-1.66,0.00,-17.49,98.27,-0.20,-4.94,-89.24,0.00,81.81,-168.09,-4.60,
16-29-47.640,0.00,0.00,0.00,5.64,96.22,-1.40,-0.61,1.73,0.00,7.16,-102.06,-1.20,2.00,-1.65,0.00,-17.49,98.30,-0.20,-4.94,-89.24,0.00,81.81,-168.09,-4.60,
16-29-47.648,0.00,0.00,0.00,5.64,96.22,-1.40,-0.61,1.73,0.00,7.16,-102.06,-1.20,2.00,-1.65,0.00,-17.49,98.32,-0.20,-4.94,-89.24,0.00,81.81,-168.08,-4.60,
16-29-47.659,0.00,0.00,0.00,5.64,96.22,-1.40,-0.61,1.73,0.00,7.16,-102.04,-1.20,2.00,-1.65,0.00,-17.50,98.36,-0.20,-4.94,-89.24,0.00,81.80,-168.09,-4.60,
16-29-47.669,0.00,0.00,0.00,5.63,96.21,-1.40,-0.61,1.73,0.00,7.16,-102.04,-1.20,2.00,-1.65,0.00,-17.50,98.37,-0.20,-4.95,-89.25,0.00,81.80,-168.09,-4.60,
16-29-47.677,0.00,0.00,0.00,5.63,96.21,-1.40,-0.61,1.73,0.00,7.16,-102.04,-1.20,2.00,-1.65,0.00,-17.50,98.39,-0.20,-4.95,-89.25,0.00,81.80,-168.09,-4.60,
16-29-47.688,0.00,0.00,0.00,5.63,96.21,-1.40,-0.61,1.73,0.00,7.16,-102.04,-1.20,2.00,-1.65,0.00,-17.50,98.39,-0.20,-4.95,-89.25,0.00,81.79,-168.07,-4.60,
16-29-47.699,0.00,0.00,0.00,5.63,96.21,-1.40,-0.61,1.73,0.00,7.17,-101.97,-1.20,2.00,-1.65,0.00,-17.50,98.41,-0.20,-4.95,-89.25,0.00,81.78,-168.08,-4.60,
16-29-47.708,0.00,0.00,0.00,5.61,96.20,-1.40,-0.61,1.73,0.00,7.17,-101.97,-1.20,2.00,-1.65,0.00,-17.50,98.41,-0.20,-4.98,-89.27,0.00,81.77,-168.10,-4.60,
16-29-47.719,0.00,0.00,0.00,5.61,96.20,-1.40,-0.61,1.73,0.00,7.17,-101.97,-1.20,2.00,-1.65,0.00,-17.50,98.41,-0.20,-4.98,-89.27,0.00,81.77,-168.10,-4.60,
16-29-47.728,0.00,0.00,0.00,5.61,96.20,-1.40,-0.61,1.73,0.00,7.17,-101.97,-1.20,2.00,-1.65,0.00,-17.50,98.41,-0.20,-4.98,-89.26,0.00,81.75,-168.02,-4.50,
16-29-47.739,0.00,0.00,0.00,5.61,96.20,-1.40,-0.61,1.73,0.00,7.16,-101.96,-1.20,2.00,-1.65,0.00,-17.49,98.41,-0.20,-4.98,-89.26,0.00,81.75,-168.02,-4.50,
16-29-47.747,0.00,0.00,0.00,5.62,96.20,-1.40,-0.61,1.73,0.00,7.16,-101.96,-1.20,2.00,-1.65,0.00,-17.49,98.41,-0.20,-5.00,-89.28,0.00,81.75,-168.02,-4.50,
16-29-47.757,0.00,0.00,0.00,5.62,96.20,-1.40,-0.60,1.73,0.00,7.16,-101.96,-1.20,2.01,-1.65,0.00,-17.49,98.41,-0.20,-5.00,-89.28,0.00,81.74,-168.04,-4.50,
16-29-47.769,0.00,0.00,0.00,5.62,96.20,-1.40,-0.60,1.73,0.00,7.16,-101.96,-1.20,2.01,-1.65,0.00,-17.49,98.41,-0.20,-5.00,-89.29,-0.10,81.71,-167.96,-4.50,
16-29-47.778,0.00,0.00,0.00,5.62,96.19,-1.40,-0.60,1.73,0.00,7.16,-101.96,-1.20,2.01,-1.65,0.00,-17.49,98.41,-0.20,-5.00,-89.29,-0.10,81.71,-167.96,-4.50,
16-29-47.787,0.00,0.00,0.00,5.62,96.19,-1.50,-0.60,1.73,0.00,7.16,-101.96,-1.20,2.01,-1.65,0.00,-17.49,98.41,-0.20,-5.00,-89.30,-0.10,81.71,-167.96,-4.50,
16-29-47.798,0.00,0.00,0.00,5.62,96.19,-1.50,-0.61,1.73,0.00,7.16,-101.96,-1.20,2.00,-1.65,0.00,-17.49,98.41,-0.20,-5.00,-89.31,-0.10,81.71,-167.96,-4.50,
16-29-47.810,0.00,0.00,0.00,5.62,96.19,-1.50,-0.61,1.73,0.00,7.16,-101.96,-1.20,2.00,-1.65,0.00,-17.49,98.41,-0.20,-5.00,-89.31,-0.10,81.67,-167.91,-4.40,
16-29-47.818,0.00,0.00,0.00,5.62,96.19,-1.50,-0.61,1.73,0.00,7.16,-101.95,-1.20,2.00,-1.65,0.00,-17.49,98.41,-0.20,-5.00,-89.31,-0.10,81.67,-167.91,-4.40,
16-29-47.829,0.00,0.00,0.00,5.61,96.18,-1.50,-0.61,1.73,0.00,7.16,-101.95,-1.30,2.00,-1.65,0.00,-17.49,98.41,-0.20,-5.01,-89.33,-0.10,81.67,-167.91,-4.40,
16-29-47.839,0.00,0.00,0.00,5.61,96.18,-1.50,-0.61,1.73,0.00,7.16,-101.95,-1.30,2.01,-1.65,0.00,-17.49,98.41,-0.20,-5.01,-89.33,-0.10,81.67,-167.91,-4.40,
16-29-47.847,0.00,0.00,0.00,5.61,96.18,-1.50,-0.61,1.73,0.00,7.15,-101.95,-1.30,2.01,-1.65,0.00,-17.49,98.41,-0.20,-5.01,-89.33,-0.10,81.65,-167.83,-4.30,
16-29-47.858,0.00,0.00,0.00,5.61,96.18,-1.50,-0.61,1.73,0.00,7.16,-101.94,-1.30,2.01,-1.65,0.00,-17.49,98.42,-0.20,-5.01,-89.33,-0.10,81.65,-167.83,-4.30,
16-29-47.869,0.00,0.00,0.00,5.60,96.16,-1.50,-0.61,1.73,0.00,7.16,-101.94,-1.30,2.01,-1.65,0.00,-17.49,98.42,-0.20,-5.02,-89.38,-0.10,81.65,-167.83,-4.30,
16-29-47.879,0.00,0.00,0.00,5.60,96.16,-1.50,-0.61,1.73,0.00,7.16,-101.94,-1.30,2.01,-1.65,0.00,-17.49,98.42,-0.20,-5.02,-89.38,-0.10,81.65,-167.83,-4.30,
16-29-47.888,0.00,0.00,0.00,5.60,96.16,-1.50,-0.61,1.73,0.00,7.16,-101.94,-1.30,2.01,-1.65,0.00,-17.49,98.42,-0.20,-5.02,-89.38,-0.10,81.63,-167.83,-4.30,
16-29-47.899,0.00,0.00,0.00,5.60,96.16,-1.50,-0.61,1.73,0.00,7.15,-101.93,-1.30,2.01,-1.65,0.00,-17.49,98.43,-0.20,-5.02,-89.38,-0.10,81.63,-167.83,-4.30,
16-29-47.910,0.00,0.00,0.00,5.60,96.15,-1.50,-0.61,1.73,0.00,7.15,-101.93,-1.30,2.01,-1.65,0.00,-17.49,98.43,-0.20,-5.03,-89.41,-0.10,81.63,-167.83,-4.30,
16-29-47.920,0.00,0.00,0.00,5.60,96.15,-1.50,-0.61,1.73,0.00,7.15,-101.93,-1.30,2.02,-1.65,0.00,-17.49,98.43,-0.20,-5.03,-89.41,-0.10,81.59,-167.83,-4.30,
16-29-47.930,0.00,0.00,0.00,5.60,96.15,-1.50,-0.61,1.73,0.00,7.15,-101.93,-1.30,2.02,-1.65,0.00,-17.49,98.43,-0.20,-5.03,-89.41,-0.10,81.59,-167.83,-4.30,
16-29-47.940,0.00,0.00,0.00,5.60,96.15,-1.50,-0.61,1.73,0.00,7.15,-101.91,-1.30,2.02,-1.65,0.00,-17.49,98.44,-0.20,-5.03,-89.41,-0.10,81.59,-167.84,-4.30,
16-29-47.951,0.00,0.00,0.00,5.60,96.13,-1.50,-0.61,1.73,0.00,7.15,-101.91,-1.30,2.02,-1.65,0.00,-17.49,98.44,-0.20,-5.03,-89.42,-0.10,81.59,-167.84,-4.30,
16-29-47.960,0.00,0.00,0.00,5.60,96.13,-1.50,-0.61,1.73,0.00,7.15,-101.91,-1.30,2.02,-1.66,0.00,-17.49,98.44,-0.20,-5.03,-89.42,-0.10,81.57,-167.87,-4.40,
16-29-47.970,0.00,0.00,0.00,5.60,96.13,-1.50,-0.61,1.73,0.00,7.15,-101.91,-1.30,2.02,-1.66,0.00,-17.49,98.44,-0.20,-5.03,-89.42,-0.10,81.57,-167.87,-4.40,
16-29-47.979,0.00,0.00,0.00,5.60,96.13,-1.50,-0.61,1.73,0.00,7.14,-101.90,-1.30,2.02,-1.66,0.00,-17.48,98.45,-0.20,-5.03,-89.42,-0.10,81.57,-167.87,-4.40,
16-29-47.990,0.00,0.00,0.00,5.59,96.12,-1.50,-0.61,1.73,0.00,7.14,-101.90,-1.30,2.02,-1.66,0.00,-17.48,98.45,-0.20,-5.04,-89.45,-0.10,81.57,-167.87,-4.40,
16-29-48.000,0.00,0.00,0.00,5.59,96.12,-1.50,-0.60,1.73,0.00,7.14,-101.90,-1.30,2.03,-1.66,0.00,-17.48,98.45,-0.20,-5.04,-89.45,-0.10,81.54,-167.94,-4.40,
