Time,P0, R0, Y0,P1, R1, Y1,P2, R2, Y2,P3, R3, Y3,P4, R4, Y4,P5, R5, Y5,P6, R6, Y6,P7, R7, Y7,
16-38-08.177,0.00,0.00,0.00,3.42,96.84,6.70,-0.52,1.05,1.20,6.08,-103.75,-6.20,1.64,-1.30,-2.10,-19.44,99.41,-8.00,-7.84,-87.26,3.90,78.93,-155.82,-2.00,
16-38-08.187,0.00,0.00,0.00,3.42,96.85,6.70,-0.52,1.05,1.20,6.09,-103.75,-6.10,1.64,-1.30,-2.10,-19.45,99.43,-8.00,-7.84,-87.29,3.90,78.89,-155.98,-2.10,
16-38-08.196,0.00,0.00,0.00,3.42,96.86,6.70,-0.52,1.05,1.20,6.10,-103.74,-6.10,1.64,-1.30,-2.10,-19.46,99.46,-8.00,-7.82,-87.31,3.90,78.88,-156.04,-2.20,
16-38-08.208,0.00,0.00,0.00,3.42,96.88,6.70,-0.52,1.05,1.20,6.10,-103.74,-6.10,1.64,-1.30,-2.10,-19.46,99.49,-8.00,-7.82,-87.33,3.90,78.87,-156.09,-2.20,
16-38-08.218,0.00,0.00,0.00,3.42,96.89,6.70,-0.52,1.05,1.20,6.11,-103.75,-6.10,1.64,-1.30,-2.10,-19.46,99.52,-7.90,-7.82,-87.36,3.80,78.86,-156.14,-2.20,
16-38-08.228,0.00,0.00,0.00,3.42,96.90,6.80,-0.52,1.05,1.20,6.11,-103.76,-6.10,1.64,-1.30,-2.10,-19.48,99.55,-7.90,-7.82,-87.39,3.80,78.83,-156.20,-2.20,
16-38-08.238,0.00,0.00,0.00,3.41,96.91,6.80,-0.52,1.05,1.20,6.12,-103.77,-6.00,1.63,-1.30,-2.10,-19.48,99.58,-7.90,-7.83,-87.41,3.80,78.83,-156.24,-2.20,
16-38-08.248,0.00,0.00,0.00,3.41,96.92,6.80,-0.52,1.05,1.20,6.12,-103.78,-6.00,1.63,-1.30,-2.10,-19.48,99.61,-7.90,-7.83,-87.44,3.80,78.82,-156.28,-2.30,
16-38-08.258,0.00,0.00,0.00,3.41,96.92,6.80,-0.52,1.04,1.20,6.11,-103.79,-6.00,1.63,-1.30,-2.10,-19.49,99.65,-7.80,-7.83,-87.46,3.80,78.82,-156.31,-2.30,
16-38-08.268,0.00,0.00,0.00,3.40,96.92,6.80,-0.52,1.04,1.20,6.12,-103.80,-6.00,1.63,-1.30,-2.10,-19.50,99.68,-7.80,-7.83,-87.48,3.80,78.81,-156.29,-2.20,
